,0
1350,redcap_survey_identifier
1351,er_num
1352,complaint_other
1353,diagnosis_other
1354,opening_psychothe_3
1355,opening_medicine_3
1356,iat_done
1357,consent
1358,consent_no
1359,covid_1___1
1360,covid_1___2
1361,covid_1___3
1362,covid_1___4
1363,covid_2
1364,covid_3___1
1365,covid_3___2
1366,covid_3___3
1367,covid_3___4
1368,covid_3___5
1369,covid_3___6
1370,covid_3___7
1371,covid_3___8
1372,covid_4
1373,covid_5
1374,covid_6
1375,covid_7
1376,covid_8
1377,gender
1378,age_child
1379,maris_sci_sf_1
1380,maris_sci_sf_2
1381,maris_sci_sf_3
1382,maris_sci_sf_4
1383,maris_sci_sf_5
1384,maris_sci_sf_6
1385,maris_sci_sf_7
1386,maris_sci_sf_8
1387,maris_sci_sf_9
1388,maris_soq_sf_1
1389,maris_soq_sf_2
1390,maris_soq_sf_3
1391,maris_soq_sf_4
1392,maris_soq_sf_5
1393,maris_soq_sf_6
1394,maris_soq_sf_7
1395,maris_soq_sf_8
1396,c_ssrs_1_life
1397,c_ssrs_2_life
1398,c_ssrs_3_life
1399,c_ssrs_4_life
1400,c_ssrs_5_life
1401,c_ssrs_6_life
1402,c_ssrs_1_2weeks
1403,c_ssrs_2_2weeks
1404,c_ssrs_3_2weeks
1405,c_ssrs_4_2weeks
1406,c_ssrs_5_2weeks
1407,c_ssrs_6_2weeks
1408,c_ssrs_6_3month
1409,c_ssrs_7_intake
1410,c_ssrs_8_intake
1411,mfq_1
1412,mfq_2
1413,mfq_5
1414,mfq_7
1415,mfq_8
1416,mfq_14
1417,mfq_21
1418,mfq_23
1419,mfq_24
1420,mfq_27
1421,mfq_28
1422,mfq_30
1423,mfq_31
1424,mfq_34
1425,mfq_35
1426,mfq_36
1427,mfq_37
1428,mfq_sum
1429,c_ssrs_1
1430,c_ssrs_2
1431,c_ssrs_3
1432,c_ssrs_4
1433,c_ssrs_5
1434,c_ssrs_6
1435,c_ssrs_last_visit_6
1436,c_ssrs_7
1437,c_ssrs_8
1438,siq_1
1439,siq_2
1440,siq_3
1441,siq_4
1442,siq_5
1443,siq_6
1444,siq_7
1445,siq_8
1446,siq_9
1447,siq_10
1448,siq_11
1449,siq_12
1450,siq_13
1451,siq_14
1452,siq_15
1453,siq_sum
1454,sdq_1
1455,sdq_2
1456,sdq_3
1457,sdq_4
1458,sdq_5
1459,sdq_6
1460,sdq_7
1461,sdq_8
1462,sdq_9
1463,sdq_10
1464,sdq_11
1465,sdq_12
1466,sdq_13
1467,sdq_14
1468,sdq_15
1469,sdq_16
1470,sdq_17
1471,sdq_18
1472,sdq_19
1473,sdq_20
1474,sdq_21
1475,sdq_22
1476,sdq_23
1477,sdq_24
1478,sdq_25
1479,sci_af_ca_1
1480,sci_af_ca_2
1481,sci_af_ca_3
1482,sci_af_ca_4
1483,sci_af_ca_5
1484,sci_af_ca_6
1485,sci_af_ca_7
1486,sci_af_ca_8
1487,sci_af_ca_9
1488,sci_af_ca_10
1489,sci_af_ca_11
1490,sci_af_ca_12
1491,sci_af_ca_13
1492,sci_af_ca_14
1493,sci_af_ca_15
1494,sci_af_ca_16
1495,sci_af_ca_17
1496,sci_af_ca_18
1497,sci_af_ca_19
1498,sci_af_ca_20
1499,sci_af_ca_21
1500,sci_af_ca_22
1501,sci_af_ca_23
1502,sci_af_ca_24
1503,sci_af_ca_25
1504,sci_af_ca_26
1505,sci_af_ca_27
1506,sci_af_ca_28
1507,sci_af_ca_29
1508,sci_af_ca_30
1509,sci_af_ca_31
1510,sci_af_ca_32
1511,sci_af_ca_33
1512,sci_af_ca_34
1513,sci_af_ca_35
1514,sci_af_ca_36
1515,sci_af_ca_37
1516,sci_af_ca_38
1517,sci_af_ca_39
1518,sci_af_ca_40
1519,scared_1
1520,scared_2
1521,scared_3
1522,scared_4
1523,scared_5
1524,scared_6
1525,scared_7
1526,scared_8
1527,scared_9
1528,scared_10
1529,scared_11
1530,scared_12
1531,scared_13
1532,scared_14
1533,scared_15
1534,scared_16
1535,scared_17
1536,scared_18
1537,scared_19
1538,scared_20
1539,scared_21
1540,scared_22
1541,scared_23
1542,scared_24
1543,scared_25
1544,scared_26
1545,scared_27
1546,scared_28
1547,scared_29
1548,scared_30
1549,scared_31
1550,scared_32
1551,scared_33
1552,scared_34
1553,scared_35
1554,scared_36
1555,scared_37
1556,scared_38
1557,scared_39
1558,scared_40
1559,scared_41
1560,sas_1
1561,sas_2
1562,sas_3
1563,sas_4
1564,sas_5
1565,sas_6
1566,sas_7
1567,sas_8
1568,sas_9
1569,sas_10
1570,sas_11
1571,sas_12
1572,sas_13
1573,sas_14
1574,sas_15
1575,sas_16
1576,sas_17
1577,sas_18
1578,sas_19
1579,sas_20
1580,sas_21
1581,sas_22
1582,sas_23
1583,erc_rc_1
1584,erc_rc_2
1585,erc_rc_3
1586,erc_rc_4
1587,erc_rc_5
1588,erc_rc_6
1589,erc_rc_7
1590,erc_rc_8
1591,erc_rc_9
1592,erc_rc_10
1593,erc_rc_11
1594,erc_rc_12
1595,ari_s_1
1596,ari_s_2
1597,ari_s_3
1598,ari_s_4
1599,ari_s_5
1600,ari_s_6
1601,ari_s_7
1602,age
1603,mast_1
1604,mast_2
1605,mast_3
1606,mast_4
1607,mast_5
1608,mast_6
1609,mast_7
1610,mast_8
1611,mast_9
1612,mast_10
1613,mast_11
1614,mast_12
1615,mast_13
1616,mast_14
1617,mast_15
1618,mast_16
1619,mast_17
1620,mast_18
1621,mast_19
1622,mast_20
1623,mast_21
1624,mast_22
1625,mast_23
1626,mast_24
1627,mast_25
1628,mast_26
1629,mast_27
1630,mast_28
1631,mast_29
1632,mast_30
1633,athens_1
1634,athens_2
1635,athens_3
1636,athens_4
1637,athens_5
1638,athens_6
1639,athens_7
1640,athens_8
1641,piu_1
1642,piu_2
1643,piu_3
1644,piu_4
1645,piu_5
1646,piu_6
1647,cyberbulling_1
1648,cyberbulling_2
1649,cyberbulling_3
1650,cyberbulling_4
1651,cyberbulling_5
1652,cyberbulling_6
1653,cyberbulling_7
1654,cyberbulling_8
1655,cyberbulling_9
1656,cyberbulling_10
1657,cyberbulling_11
1658,bullied_1
1659,bullied_2
1660,bullied_3
1661,bullied_4
1662,erq_ca_1
1663,erq_ca_2
1664,erq_ca_3
1665,erq_ca_4
1666,erq_ca_5
1667,erq_ca_6
1668,erq_ca_7
1669,erq_ca_8
1670,erq_ca_9
1671,erq_ca_10
1672,ders_1
1673,ders_2
1674,ders_3
1675,ders_4
1676,ders_5
1677,ders_6
1678,ders_7
1679,ders_8
1680,ders_9
1681,ders_10
1682,ders_11
1683,ders_12
1684,ders_13
1685,ders_14
1686,ders_15
1687,ders_16
1688,ders_17
1689,ders_18
1690,ders_19
1691,ders_20
1692,ders_21
1693,ders_22
1694,ders_23
1695,ders_24
1696,ders_25
1697,ders_26
1698,ders_27
1699,ders_28
1700,ders_29
1701,ders_30
1702,ders_31
1703,ders_32
1704,ders_33
1705,ders_34
1706,ders_35
1707,ders_36
1708,wai_1
1709,wai_2
1710,wai_3
1711,wai_4
1712,wai_5
1713,wai_6
1714,wai_7
1715,wai_8
1716,wai_9
1717,wai_10
1718,wai_11
1719,wai_12
1720,satis_1
1721,satis_2
1722,satis_3
1723,satis_4
1724,cts_c_1
1725,cts_c_2
1726,cts_c_3
1727,cts_c_4
1728,cts_c_4_1
1729,dshi_pre_1
1730,dshi_pre_2
1731,dshi_pre_3
1732,dshi_pre_4
1733,dshi_pre_5
1734,dshi_pre_6
1735,dshi_post_1
1736,dshi_post_2
1737,dshi_post_3
1738,dshi_post_4
1739,dshi_post_5
1740,dshi_post_6
1741,inq_1
1742,inq_2
1743,inq_3
1744,inq_4
1745,inq_5
1746,inq_6
1747,inq_7
1748,inq_8
1749,inq_9
1750,inq_10
1751,inq_11
1752,inq_12
1753,inq_13
1754,inq_14
1755,inq_15
1756,therapy_child
1757,ending_child
1758,who_fills_out_m
1759,who_fills_out_2_m
1760,parents_who_m
1761,parent_who_other_m
1762,parents_age_m
1763,parents_born_m
1764,parents_born_2_m
1765,born_child_m
1766,born_child_2_m
1767,parent_religion_m
1768,parent_religion_other_m
1769,parents_economy_m
1770,parents_education_m
1771,parents_education_other_m
1772,parents_work_m
1773,paresnts_work_2_m
1774,together_live_m
1775,with_who_other_m
1776,swan_1_m
1777,swan_2_m
