,id,group
4,SB070,invalid
28,T8437,invalid
40,S7714,invalid
44,Z7237,invalid
55,A0120,invalid
56,ER 02.06.22,invalid
57,S6810,invalid
58,S2489,invalid
61,K0936,invalid
62,R9979APP,invalid
63,T0428,invalid
65,L5580,invalid
66,L5494,invalid
67,D6089,invalid
68,S0028,invalid
69,A2480,invalid
72,a7705,invalid
74,ER 31.7,invalid
75,Y4963,invalid
77,M7615,invalid
78,S6551,invalid
80,K000,invalid
84,L1833,invalid
85,ER 11.9,invalid
88,M3256,invalid
89,G9234,invalid
90,A4614,invalid
94,N1651,invalid
97,A9324,invalid
98,SCS-9,invalid
99,E4061,invalid
100,A6869,invalid
101,SCS-7,invalid
103,D0799,invalid
104,I8279,invalid
105,ER 1/12,invalid
106,scs-00,invalid
107,H5396,invalid
108,L7603,invalid
109,Y9633,invalid
117,D8704,invalid
138,O4497,invalid
162,S2319,invalid
186,D6169APP,invalid
209,L2028,invalid
222,N9042,invalid
223,M8511,invalid
224,I6214,invalid
225,O8253,invalid
227,Y0997,invalid
228,Y6299,invalid
230,S6548,invalid
231,I6553,invalid
232,S0075,invalid
233,Y4733,invalid
234,I4057APP,invalid
235,E4738,invalid
236,E9332,invalid
238,K3544,invalid
241,A5625,invalid
242,S9728,invalid
243,Y0629,invalid
245,l2172,invalid
246,413,invalid
247,1505,invalid
248,1744,invalid
249,1778,invalid
250,2391,invalid
251,2714,invalid
252,3468,invalid
253,3586,invalid
254,3747,invalid
255,3780,invalid
256,3980,invalid
257,4345,invalid
258,4448,invalid
259,4679,invalid
260,5247,invalid
261,5936,invalid
262,6911,invalid
263,7105,invalid
264,7423,invalid
266,9318,invalid
297,S8015,invalid
350,8120App,invalid
372,O0206,invalid
384,R9638,invalid
388,R4893app,invalid
398,L4759,invalid
401,M3804app,invalid
404,L5416,invalid
408,204,invalid
409,654,invalid
410,1297,invalid
411,2659,invalid
412,3097,invalid
413,4866,invalid
414,4907,invalid
415,6546,invalid
416,8248,invalid
417,9437,invalid
418,R9704,invalid
