,id,group
3,S8015,invalid
18,8120App,invalid
22,O0206,invalid
26,R9638,invalid
31,L4759,invalid
47,T8437,invalid
95,S2319,invalid
143,S0075,invalid
145,204,invalid
146,1297,invalid
147,2551,invalid
148,3097,invalid
149,4907,invalid
150,9437,invalid
151,R9704,invalid
210,SB070,invalid
219,M3804app,invalid
220,L5416,invalid
229,Z7237,invalid
239,A0120,invalid
240,S6810,invalid
241,S2489,invalid
244,R9979APP,invalid
249,L1833,invalid
250,M3256,invalid
251,G9234,invalid
252,A4614,invalid
260,O4497,invalid
271,D6169APP,invalid
278,L2028,invalid
285,I4057APP,invalid
286,R4893app,invalid
287,413,invalid
288,1744,invalid
289,1778,invalid
290,2714,invalid
291,3586,invalid
292,4448,invalid
293,4679,invalid
294,5247,invalid
295,5936,invalid
297,9318,invalid
