iter	Passed	Remaining
0	156	156295
1	159	79436
2	161	53728
3	164	40935
4	166	33145
5	168	27989
6	171	24312
7	173	21570
8	176	19433
9	178	17719
10	181	16308
11	183	15118
12	186	14133
13	188	13276
14	190	12507
15	192	11836
16	194	11233
17	196	10699
18	198	10257
19	200	9814
20	202	9426
21	204	9076
22	206	8755
23	208	8459
24	209	8170
25	211	7939
26	214	7713
27	215	7485
28	217	7274
29	218	7076
30	220	6906
31	222	6730
32	224	6566
33	225	6408
34	226	6253
35	228	6120
36	230	5991
37	231	5862
38	232	5740
39	234	5634
40	236	5520
41	237	5414
42	239	5321
43	240	5236
44	242	5153
45	244	5065
46	245	4985
47	247	4910
48	249	4838
49	250	4768
50	252	4702
51	254	4638
52	256	4575
53	257	4511
54	259	4453
55	261	4402
56	262	4345
57	265	4306
58	267	4263
59	269	4220
60	271	4184
61	273	4138
62	275	4097
63	277	4055
64	278	4009
65	280	3973
66	282	3938
67	285	3906
68	286	3871
69	289	3842
70	291	3811
71	293	3779
72	295	3754
73	297	3717
74	298	3684
75	300	3652
76	302	3626
77	305	3606
78	307	3581
79	309	3555
80	311	3533
81	313	3508
82	315	3483
83	316	3456
84	318	3429
85	320	3406
86	322	3379
87	323	3357
88	326	3343
89	328	3325
90	331	3306
91	333	3288
92	335	3268
93	337	3249
94	339	3230
95	341	3217
96	343	3200
97	345	3184
98	348	3167
99	349	3147
100	351	3130
101	354	3120
102	356	3104
103	358	3084
104	359	3064
105	361	3047
106	363	3034
107	365	3018
108	367	3007
109	369	2992
110	372	2979
111	374	2968
112	376	2952
113	378	2937
114	379	2923
115	382	2911
116	383	2895
117	385	2882
118	388	2875
119	390	2864
120	392	2854
121	395	2847
122	397	2834
123	399	2821
124	401	2809
125	403	2796
126	404	2781
127	406	2772
128	408	2759
129	410	2746
130	411	2731
131	413	2718
132	415	2707
133	417	2700
134	419	2686
135	421	2677
136	423	2667
137	425	2657
138	427	2648
139	429	2635
140	431	2626
141	432	2612
142	434	2601
143	435	2588
144	437	2581
145	439	2573
146	441	2563
147	443	2555
148	446	2549
149	447	2538
150	449	2529
151	452	2524
152	454	2513
153	456	2506
154	457	2496
155	460	2490
156	462	2480
157	463	2468
158	465	2459
159	466	2450
160	468	2442
161	469	2430
162	471	2423
163	473	2413
164	475	2406
165	477	2397
166	479	2390
167	481	2384
168	483	2375
169	485	2368
170	486	2358
171	488	2351
172	490	2344
173	492	2338
174	495	2333
175	496	2325
176	498	2316
177	500	2309
178	501	2301
179	503	2292
180	504	2283
181	506	2275
182	508	2268
183	509	2260
184	511	2254
185	514	2250
186	516	2247
187	518	2241
188	520	2235
189	522	2227
190	524	2220
191	525	2213
192	527	2206
193	529	2199
194	531	2194
195	534	2191
196	536	2185
197	537	2179
198	539	2171
199	541	2164
200	542	2158
201	545	2153
202	547	2147
203	548	2141
204	550	2134
205	552	2131
206	554	2125
207	556	2120
208	558	2113
209	560	2106
210	561	2100
211	563	2093
212	564	2086
213	566	2078
214	567	2072
215	569	2065
216	570	2059
217	572	2053
218	574	2047
219	575	2042
220	577	2036
221	579	2030
222	581	2025
223	583	2019
224	584	2014
225	587	2010
226	588	2004
227	590	1998
228	592	1994
229	593	1988
230	595	1983
231	597	1977
232	599	1972
233	600	1966
234	603	1963
235	605	1958
236	606	1953
237	608	1948
238	610	1943
239	611	1936
240	613	1931
241	614	1926
242	616	1919
243	617	1914
244	619	1908
245	621	1903
246	622	1898
247	624	1894
248	626	1890
249	628	1885
250	630	1880
251	632	1876
252	634	1873
253	636	1868
254	637	1863
255	639	1858
256	640	1852
257	643	1850
258	645	1846
259	646	1840
260	648	1837
261	651	1834
262	652	1828
263	654	1824
264	655	1818
265	658	1816
266	660	1812
267	662	1808
268	663	1803
269	664	1797
270	666	1792
271	667	1787
272	669	1781
273	670	1776
274	671	1771
275	673	1766
276	674	1761
277	676	1757
278	679	1755
279	681	1753
280	684	1751
281	686	1748
282	688	1744
283	690	1740
284	691	1735
285	693	1731
286	695	1727
287	696	1722
288	698	1717
289	699	1713
290	701	1708
291	703	1704
292	704	1699
293	706	1696
294	707	1691
295	709	1687
296	711	1682
297	712	1678
298	713	1673
299	715	1668
300	716	1664
301	717	1659
302	719	1654
303	720	1650
304	722	1645
305	723	1640
306	724	1636
307	726	1631
308	727	1627
309	729	1623
310	730	1619
311	732	1614
312	733	1609
313	734	1604
314	736	1600
