id,group
S8015,invalid
SB070,invalid
8120App,invalid
L4759,invalid
A2480,invalid
S2319,invalid
204,invalid
1297,invalid
2551,invalid
3097,invalid
4907,invalid
9437,invalid
R9704,invalid
n1540,invalid
M3804app,invalid
S6810,invalid
S2489,invalid
R9979APP,invalid
M3256,invalid
G9234,invalid
A4614,invalid
O9324,invalid
SCS-9,invalid
E4061,invalid
SCS-7,invalid
G0327,invalid
O8345,invalid
H6294,invalid
Y1113,invalid
D6736,invalid
N5920,invalid
L2653,invalid
H9120,invalid
Y7712,invalid
d6725,invalid
A3485,invalid
S6725,invalid
A1651App,invalid
B9409,invalid
H8894,invalid
T2893,invalid
E2203,invalid
L0351,invalid
S7002,invalid
A0181,invalid
R4760,invalid
D6169APP,invalid
L2028,invalid
I4057APP,invalid
R4893app,invalid
413,invalid
1744,invalid
1778,invalid
2714,invalid
3586,invalid
4448,invalid
4679,invalid
5247,invalid
5936,invalid
9318,invalid
