,0
0,record_id
1,id
2,ID_Merge
3,ID_2
4,redcap_event_name
5,redcap_survey_identifier
6,opening_timestamp
7,er_num
8,complaint___1
9,complaint___2
10,complaint___3
11,complaint___4
12,complaint___5
13,complaint___6
14,complaint_other
15,complaint_date
16,diagnosis___1
17,diagnosis___2
18,diagnosis___3
19,diagnosis___4
20,diagnosis___5
21,diagnosis___6
22,diagnosis___7
23,diagnosis___8
24,diagnosis___9
25,diagnosis___10
26,diagnosis___11
27,diagnosis___12
28,diagnosis___13
29,diagnosis___14
30,diagnosis_other
31,opening_psychothe
32,opening_psychothe_2___1
33,opening_psychothe_2___2
34,opening_psychothe_2___3
35,opening_psychothe_2___4
36,opening_psychothe_2___5
37,opening_psychothe_2___6
38,opening_psychothe_2___7
39,opening_psychothe_3
40,opening_medicine
41,opening_medicine_2___1
42,opening_medicine_2___2
43,opening_medicine_2___3
44,opening_medicine_2___4
45,opening_medicine_2___5
46,opening_medicine_3
47,iat_done
48,iat_done_no
49,group___1
50,group___2
51,group___3
52,Group
53,Group99
54,consent
55,consent_no
56,opening_complete
57,covid19_timestamp
58,covid_1___1
59,covid_1___2
60,covid_1___3
61,covid_1___4
62,covid_2
63,covid_3___1
64,covid_3___2
65,covid_3___3
66,covid_3___4
67,covid_3___5
68,covid_3___6
69,covid_3___7
70,covid_3___8
71,covid_4
72,covid_5
73,covid_6
74,covid_7
75,covid_8
76,covid19_complete
77,opening_child_pre_timestamp
78,age_child_pre
79,age_child_pre_first
80,gender
81,gender_mean
82,opening_child_pre_complete
83,marisscisf_timestamp
84,age_child
85,maris_sci_sf_1
86,maris_sci_sf_2
87,maris_sci_sf_3
88,maris_sci_sf_4
89,maris_sci_sf_5
90,maris_sci_sf_6
91,maris_sci_sf_7
92,maris_sci_sf_8
93,maris_sci_sf_9
94,marisscisf_complete
95,marissoqsf_timestamp
96,maris_soq_sf_1
97,maris_soq_sf_2
98,maris_soq_sf_3
99,maris_soq_sf_4
100,maris_soq_sf_5
101,maris_soq_sf_6
102,maris_soq_sf_7
103,maris_soq_sf_8
104,marissoqsf_complete
105,cssrs_intake_timestamp
106,c_ssrs_1_life
107,c_ssrs_2_life
108,c_ssrs_3_life
109,c_ssrs_4_life
110,c_ssrs_5_life
111,c_ssrs_6_life
112,c_ssrs_1_2weeks
113,c_ssrs_2_2weeks
114,c_ssrs_3_2weeks
115,c_ssrs_4_2weeks
116,c_ssrs_5_2weeks
117,c_ssrs_6_2weeks
118,c_ssrs_6_3month
119,c_ssrs_7_intake
120,c_ssrs_8_intake
121,cssrs_intake_complete
122,mfq_short_timestamp
123,mfq_1
124,mfq_2
125,mfq_5
126,mfq_7
127,mfq_8
128,mfq_14
129,mfq_21
130,mfq_23
131,mfq_24
132,mfq_27
133,mfq_28
134,mfq_30
135,mfq_31
136,mfq_34
137,mfq_35
138,mfq_36
139,mfq_37
140,mfq_sum
141,mfq_short_complete
142,cssrs_timestamp
143,c_ssrs_1
144,c_ssrs_2
145,c_ssrs_3
146,c_ssrs_4
147,c_ssrs_5
148,c_ssrs_6
149,c_ssrs_last_visit_6
150,c_ssrs_7
151,c_ssrs_8
152,cssrs_complete
153,siq_timestamp
154,siq_1
155,siq_2
156,siq_3
157,siq_4
158,siq_5
159,siq_6
160,siq_7
161,siq_8
162,siq_9
163,siq_10
164,siq_11
165,siq_12
166,siq_13
167,siq_14
168,siq_15
169,siq_sum
170,siq_complete
171,sdq_timestamp
172,sdq_1
173,sdq_2
174,sdq_3
175,sdq_4
176,sdq_5
177,sdq_6
178,sdq_7
179,sdq_8
180,sdq_9
181,sdq_10
182,sdq_11
183,sdq_12
184,sdq_13
185,sdq_14
186,sdq_15
187,sdq_16
188,sdq_17
189,sdq_18
190,sdq_19
191,sdq_20
192,sdq_21
193,sdq_22
194,sdq_23
195,sdq_24
196,sdq_25
197,sdq_complete
198,sciafca_timestamp
199,sci_af_ca_1
200,sci_af_ca_2
201,sci_af_ca_3
202,sci_af_ca_4
203,sci_af_ca_5
204,sci_af_ca_6
205,sci_af_ca_7
206,sci_af_ca_8
207,sci_af_ca_9
208,sci_af_ca_10
209,sci_af_ca_11
210,sci_af_ca_12
211,sci_af_ca_13
212,sci_af_ca_14
213,sci_af_ca_15
214,sci_af_ca_16
215,sci_af_ca_17
216,sci_af_ca_18
217,sci_af_ca_19
218,sci_af_ca_20
219,sci_af_ca_21
220,sci_af_ca_22
221,sci_af_ca_23
222,sci_af_ca_24
223,sci_af_ca_25
224,sci_af_ca_26
225,sci_af_ca_27
226,sci_af_ca_28
227,sci_af_ca_29
228,sci_af_ca_30
229,sci_af_ca_31
230,sci_af_ca_32
231,sci_af_ca_33
232,sci_af_ca_34
233,sci_af_ca_35
234,sci_af_ca_36
235,sci_af_ca_37
236,sci_af_ca_38
237,sci_af_ca_39
238,sci_af_ca_40
239,sciafca_complete
240,scared_timestamp
241,scared_1
242,scared_2
243,scared_3
244,scared_4
245,scared_5
246,scared_6
247,scared_7
248,scared_8
249,scared_9
250,scared_10
251,scared_11
252,scared_12
253,scared_13
254,scared_14
255,scared_15
256,scared_16
257,scared_17
258,scared_18
259,scared_19
260,scared_20
261,scared_21
262,scared_22
263,scared_23
264,scared_24
265,scared_25
266,scared_26
267,scared_27
268,scared_28
269,scared_29
270,scared_30
271,scared_31
272,scared_32
273,scared_33
274,scared_34
275,scared_35
276,scared_36
277,scared_37
278,scared_38
279,scared_39
280,scared_40
281,scared_41
282,scared_complete
283,sas_timestamp
284,sas_1
285,sas_2
286,sas_3
287,sas_4
288,sas_5
289,sas_6
290,sas_7
291,sas_8
292,sas_9
293,sas_10
294,sas_11
295,sas_12
296,sas_13
297,sas_14
298,sas_15
299,sas_16
300,sas_17
301,sas_18
302,sas_19
303,sas_20
304,sas_21
305,sas_22
306,sas_23
307,sas_complete
308,ecrrc_timestamp
309,erc_rc_1
310,erc_rc_2
311,erc_rc_3
312,erc_rc_4
313,erc_rc_5
314,erc_rc_6
315,erc_rc_7
316,erc_rc_8
317,erc_rc_9
318,erc_rc_10
319,erc_rc_11
320,erc_rc_12
321,ecrrc_complete
322,aris_timestamp
323,ari_s_1
324,ari_s_2
325,ari_s_3
326,ari_s_4
327,ari_s_5
328,ari_s_6
329,ari_s_7
330,aris_complete
331,immirisk_adolescents_mast_athens_timestamp
332,age
333,mast_1
334,mast_2
335,mast_3
336,mast_4
337,mast_5
338,mast_6
339,mast_7
340,mast_8
341,mast_9
342,mast_10
343,mast_11
344,mast_12
345,mast_13
346,mast_14
347,mast_15
348,mast_16
349,mast_17
350,mast_18
351,mast_19
352,mast_20
353,mast_21
354,mast_22
355,mast_23
356,mast_24
357,mast_25
358,mast_26
359,mast_27
360,mast_28
361,mast_29
362,mast_30
363,athens_1
364,athens_2
365,athens_3
366,athens_4
367,athens_5
368,athens_6
369,athens_7
370,athens_8
371,immirisk_adolescents_mast_athens_complete
372,piu_cyberbulling_timestamp
373,piu_1
374,piu_2
375,piu_3
376,piu_4
377,piu_5
378,piu_6
379,cyberbulling_1
380,cyberbulling_2
381,cyberbulling_3
382,cyberbulling_4
383,cyberbulling_5
384,cyberbulling_6
385,cyberbulling_7
386,cyberbulling_8
387,cyberbulling_9
388,cyberbulling_10
389,cyberbulling_11
390,bullied_1
391,bullied_2
392,bullied_3
393,bullied_4
394,piu_cyberbulling_complete
395,erqca_timestamp
396,erq_ca_1
397,erq_ca_2
398,erq_ca_3
399,erq_ca_4
400,erq_ca_5
401,erq_ca_6
402,erq_ca_7
403,erq_ca_8
404,erq_ca_9
405,erq_ca_10
406,erqca_complete
407,ders_timestamp
408,ders_1
409,ders_2
410,ders_3
411,ders_4
412,ders_5
413,ders_6
414,ders_7
415,ders_8
416,ders_9
417,ders_10
418,ders_11
419,ders_12
420,ders_13
421,ders_14
422,ders_15
423,ders_16
424,ders_17
425,ders_18
426,ders_19
427,ders_20
428,ders_21
429,ders_22
430,ders_23
431,ders_24
432,ders_25
433,ders_26
434,ders_27
435,ders_28
436,ders_29
437,ders_30
438,ders_31
439,ders_32
440,ders_33
441,ders_34
442,ders_35
443,ders_36
444,ders_complete
445,wai_timestamp
446,wai_1
447,wai_2
448,wai_3
449,wai_4
450,wai_5
451,wai_6
452,wai_7
453,wai_8
454,wai_9
455,wai_10
456,wai_11
457,wai_12
458,wai_complete
459,estimation_and_satisfaction_timestamp
460,satis_1
461,satis_2
462,satis_3
463,satis_4
464,estimation_and_satisfaction_complete
465,cts_c_timestamp
466,cts_c_1
467,cts_c_2
468,cts_c_3
469,cts_c_4
470,cts_c_4_1
471,cts_c_complete
472,dshi_pre_timestamp
473,dshi_pre_1
474,dshi_pre_2
475,dshi_pre_3
476,dshi_pre_4
477,dshi_pre_5
478,dshi_pre_6
479,dshi_pre_complete
480,dshi_post_timestamp
481,dshi_post_1
482,dshi_post_2
483,dshi_post_3
484,dshi_post_4
485,dshi_post_5
486,dshi_post_6
487,dshi_post_complete
488,inq_timestamp
489,inq_1
490,inq_2
491,inq_3
492,inq_4
493,inq_5
494,inq_6
495,inq_7
496,inq_8
497,inq_9
498,inq_10
499,inq_11
500,inq_12
501,inq_13
502,inq_14
503,inq_15
504,inq_complete
505,ending_timestamp
506,therapy_child
507,ending_child
508,ending_complete
509,opening_parents_m_timestamp
510,who_fills_out_m
511,who_fills_out_2_m
512,opening_parents_m_complete
513,demographic_parents_m_timestamp
514,parents_who_m
515,parent_who_other_m
516,parents_age_m
517,parents_born_m
518,parents_born_2_m
519,born_child_m
520,born_child_2_m
521,parent_religion_m
522,parent_religion_other_m
523,parents_economy_m
524,parents_education_m
525,parents_education_other_m
526,parents_work_m
527,paresnts_work_2_m
528,together_live_m
529,with_who_m___1
530,with_who_m___2
531,with_who_m___3
532,with_who_m___4
533,with_who_m___5
534,with_who_m___6
535,with_who_m___7
536,with_who_other_m
537,demographic_parents_m_complete
538,swan_m_timestamp
539,swan_1_m
540,swan_2_m
541,swan_3_m
542,swan_4_m
543,swan_5_m
544,swan_6_m
545,swan_7_m
546,swan_8_m
547,swan_9_m
548,swan_10_m
549,swan_11_m
550,swan_12_m
551,swan_13_m
552,swan_14_m
553,swan_15_m
554,swan_16_m
555,swan_17_m
556,swan_18_m
557,swan_m_complete
558,scip_m_timestamp
559,sci_p_1_m
560,sci_p_2_m
561,sci_p_3_m
562,sci_p_4_m
563,sci_p_5_m
564,sci_p_6_m
565,sci_p_7_m
566,sci_p_8_m
567,sci_p_9_m
568,sci_p_10_m
569,sci_p_11_m
570,sci_p_12_m
571,sci_p_13_m
572,sci_p_14_m
573,sci_p_15_m
574,scip_m_complete
575,cshq_m_timestamp
576,age_cshq_m
577,bedtime_1_m
578,bedtime_2_m
579,bedtime_3_m
580,bedtime_4_m
581,bedtime_5_m
582,bedtime_6_m
583,bedtime_7_m
584,bedtime_8_m
585,bedtime_9_m
586,bedtime_10_m
587,duration_1_m
588,duration_2_m
589,duration_3_m
590,duration_4_m
591,duration_5_m
592,duration_6_m
593,duration_7_m
594,duration_8_m
595,duration_9_m
596,duration_10_m
597,duration_11_m
598,duration_12_m
599,duration_13_m
600,duration_14_m
601,duration_15_m
602,night_wake_1_m
